Designator,Mid X,Mid Y,Layer,Rotation
C1,84.955,68.78,T,180.0
C1,66.175,68.78,T,180.0
C1,9.835,68.78,T,180.0
C1,76.285,14.26,T,0.0
C1,47.395,68.78,T,180.0
C1,19.945,14.26,T,0.0
C1,95.065,14.26,T,0.0
C1,57.505,14.26,T,0.0
C1,38.725,14.26,T,0.0
C1,28.615,68.78,T,180.0
C10,72.825,59.02,T,270.0
C10,13.295,24.02,T,90.0
C10,54.045,59.02,T,270.0
C10,91.605,59.02,T,270.0
C10,16.485,59.02,T,270.0
C10,35.265,59.02,T,270.0
C10,88.415,24.02,T,90.0
C10,50.855,24.02,T,90.0
C10,32.075,24.02,T,90.0
C10,69.635,24.02,T,90.0
C11,89.695,33.6,T,90.0
C11,90.325,49.44,T,270.0
C11,15.205,49.44,T,270.0
C11,70.915,33.6,T,90.0
C11,52.135,33.6,T,90.0
C11,33.355,33.6,T,90.0
C11,33.985,49.44,T,270.0
C11,14.575,33.6,T,90.0
C11,52.765,49.44,T,270.0
C11,71.545,49.44,T,270.0
C12,66.285,29.81,T,180.0
C12,76.175,53.23,T,0.0
C12,94.955,53.23,T,0.0
C12,38.615,53.23,T,0.0
C12,57.395,53.23,T,0.0
C12,19.835,53.23,T,0.0
C12,28.725,29.81,T,180.0
C12,47.505,29.81,T,180.0
C12,85.065,29.81,T,180.0
C12,9.945,29.81,T,180.0
C13,85.075,26.21,T,180.0
C13,9.955,26.21,T,180.0
C13,28.735,26.21,T,180.0
C13,19.825,56.83,T,0.0
C13,94.945,56.83,T,0.0
C13,76.165,56.83,T,0.0
C13,47.515,26.21,T,180.0
C13,66.295,26.21,T,180.0
C13,38.605,56.83,T,0.0
C13,57.385,56.83,T,0.0
C14,70.785,24.02,T,270.0
C14,34.115,59.02,T,90.0
C14,14.445,24.02,T,270.0
C14,52.895,59.02,T,90.0
C14,15.335,59.02,T,90.0
C14,89.565,24.02,T,270.0
C14,52.005,24.02,T,270.0
C14,33.225,24.02,T,270.0
C14,71.675,59.02,T,90.0
C14,90.455,59.02,T,90.0
C15,66.4,53.505,T,180.0
C15,19.72,29.535,T,0.0
C15,76.06,29.535,T,0.0
C15,47.62,53.505,T,180.0
C15,57.28,29.535,T,0.0
C15,38.5,29.535,T,0.0
C15,28.84,53.505,T,180.0
C15,85.18,53.505,T,180.0
C15,94.84,29.535,T,0.0
C15,10.06,53.505,T,180.0
C16,93.375,24.02,T,270.0
C16,86.645,59.02,T,90.0
C16,18.255,24.02,T,270.0
C16,55.815,24.02,T,270.0
C16,30.305,59.02,T,90.0
C16,11.525,59.02,T,90.0
C16,67.865,59.02,T,90.0
C16,37.035,24.02,T,270.0
C16,49.085,59.02,T,90.0
C16,74.595,24.02,T,270.0
C17,52.045,59.02,T,90.0
C17,34.075,24.02,T,270.0
C17,89.605,59.02,T,90.0
C17,33.265,59.02,T,90.0
C17,71.635,24.02,T,270.0
C17,14.485,59.02,T,90.0
C17,52.855,24.02,T,270.0
C17,15.295,24.02,T,270.0
C17,90.415,24.02,T,270.0
C17,70.825,59.02,T,90.0
C18,86.715,24.02,T,270.0
C18,36.965,59.02,T,90.0
C18,11.595,24.02,T,270.0
C18,30.375,24.02,T,270.0
C18,93.305,59.02,T,90.0
C18,49.155,24.02,T,270.0
C18,55.745,59.02,T,90.0
C18,18.185,59.02,T,90.0
C18,74.525,59.02,T,90.0
C18,67.935,24.02,T,270.0
C19,32.515,33.6,T,90.0
C19,51.295,33.6,T,90.0
C19,91.165,49.44,T,270.0
C19,72.385,49.44,T,270.0
C19,53.605,49.44,T,270.0
C19,16.045,49.44,T,270.0
C19,88.855,33.6,T,90.0
C19,70.075,33.6,T,90.0
C19,13.735,33.6,T,90.0
C19,34.825,49.44,T,270.0
C2,74.51,14.585,T,180.0
C2,11.61,68.455,T,0.0
C2,30.39,68.455,T,0.0
C2,18.17,14.585,T,180.0
C2,36.95,14.585,T,180.0
C2,49.17,68.455,T,0.0
C2,93.29,14.585,T,180.0
C2,86.73,68.455,T,0.0
C2,67.95,68.455,T,0.0
C2,55.73,14.585,T,180.0
C3,68.095,14.48,T,180.0
C3,74.365,68.56,T,0.0
C3,36.805,68.56,T,0.0
C3,93.145,68.56,T,0.0
C3,55.585,68.56,T,0.0
C3,11.755,14.48,T,180.0
C3,86.875,14.48,T,180.0
C3,30.535,14.48,T,180.0
C3,49.315,14.48,T,180.0
C3,18.025,68.56,T,0.0
C4,84.975,17.28,T,90.0
C4,9.855,17.28,T,90.0
C4,66.195,17.28,T,90.0
C4,76.265,65.76,T,270.0
C4,47.415,17.28,T,90.0
C4,28.635,17.28,T,90.0
C4,19.925,65.76,T,270.0
C4,95.045,65.76,T,270.0
C4,57.485,65.76,T,270.0
C4,38.705,65.76,T,270.0
C5,30.935,17.28,T,90.0
C5,55.185,65.76,T,270.0
C5,12.155,17.28,T,90.0
C5,92.745,65.76,T,270.0
C5,36.405,65.76,T,270.0
C5,68.495,17.28,T,90.0
C5,87.275,17.28,T,90.0
C5,73.965,65.76,T,270.0
C5,17.625,65.76,T,270.0
C5,49.715,17.28,T,90.0
C6,10.275,18.8,T,180.0
C6,85.395,18.8,T,180.0
C6,29.055,18.8,T,180.0
C6,38.285,64.24,T,0.0
C6,47.835,18.8,T,180.0
C6,19.505,64.24,T,0.0
C6,57.065,64.24,T,0.0
C6,94.625,64.24,T,0.0
C6,66.615,18.8,T,180.0
C6,75.845,64.24,T,0.0
C7,52.165,35.26,T,270.0
C7,71.515,47.78,T,90.0
C7,14.605,35.26,T,270.0
C7,70.945,35.26,T,270.0
C7,89.725,35.26,T,270.0
C7,15.175,47.78,T,90.0
C7,33.385,35.26,T,270.0
C7,90.295,47.78,T,90.0
C7,33.955,47.78,T,90.0
C7,52.735,47.78,T,90.0
C8,93.545,35.26,T,90.0
C8,30.135,47.78,T,270.0
C8,48.915,47.78,T,270.0
C8,67.695,47.78,T,270.0
C8,11.355,47.78,T,270.0
C8,86.475,47.78,T,270.0
C8,55.985,35.26,T,90.0
C8,37.205,35.26,T,90.0
C8,18.425,35.26,T,90.0
C8,74.765,35.26,T,90.0
C9,68.785,24.02,T,90.0
C9,50.005,24.02,T,90.0
C9,54.895,59.02,T,270.0
C9,31.225,24.02,T,90.0
C9,12.445,24.02,T,90.0
C9,92.455,59.02,T,270.0
C9,87.565,24.02,T,90.0
C9,17.335,59.02,T,270.0
C9,36.115,59.02,T,270.0
C9,73.675,59.02,T,270.0
D1,9.835,24.0,T,90.0
D1,38.725,59.04,T,270.0
D1,47.395,24.0,T,90.0
D1,95.065,59.04,T,270.0
D1,28.615,24.0,T,90.0
D1,57.505,59.04,T,270.0
D1,66.175,24.0,T,90.0
D1,76.285,59.04,T,270.0
D1,19.945,59.04,T,270.0
D1,84.955,24.0,T,90.0
D2,67.065,24.01,T,90.0
D2,75.395,59.03,T,270.0
D2,10.725,24.01,T,90.0
D2,56.615,59.03,T,270.0
D2,29.505,24.01,T,90.0
D2,85.845,24.01,T,90.0
D2,37.835,59.03,T,270.0
D2,94.175,59.03,T,270.0
D2,48.285,24.01,T,90.0
D2,19.055,59.03,T,270.0
D3,65.985,14.5,T,180.0
D3,76.475,68.54,T,0.0
D3,9.645,14.5,T,180.0
D3,57.695,68.54,T,0.0
D3,28.425,14.5,T,180.0
D3,20.135,68.54,T,0.0
D3,38.915,68.54,T,0.0
D3,95.255,68.54,T,0.0
D3,47.205,14.5,T,180.0
D3,84.765,14.5,T,180.0
F1,29.615,15.42,T,180.0
F1,85.955,15.42,T,180.0
F1,18.945,67.62,T,0.0
F1,10.835,15.42,T,180.0
F1,67.175,15.42,T,180.0
F1,56.505,67.62,T,0.0
