Comment,Designator,Footprint,LCSC
4u7,C1,Capacitor_SMD:C_0402_1005Metric,C23733
10u,"C2,C3,C4,C5",Capacitor_SMD:C_0402_1005Metric,C15525
100n,"C6,C11,C12,C13,C14,C15,C16,C17,C18,C19",Capacitor_SMD:C_0402_1005Metric,C1525
15p,"C7,C8",Capacitor_SMD:C_0402_1005Metric,C1548
1u,"C9,C10",Capacitor_SMD:C_0402_1005Metric,C52923
Power LED,D1,Diode_SMD:D_0402_1005Metric,C130719
User LED,D2,Diode_SMD:D_0402_1005Metric,C130724
PMEG2010BELD,D3,0xcb:SOD882D,C552820
500mA,F1,Fuse:Fuse_0603_1608Metric,C210357
600R,FB1,Resistor_SMD:R_0402_1005Metric,C160977
USB_C_Receptacle_USB2.0,J1,0xcb:GT-USB-7014C,C963373
2N7002VC-,"Q1,Q2",Package_TO_SOT_SMD:SOT-563,C504145
10k,"R1,R2,R3,R11,R17",Resistor_SMD:R_0402_1005Metric,C25744
51K,"R4,R5,R6",Resistor_SMD:R_0402_1005Metric,C25794
5k1,"R7,R8,R16",Resistor_SMD:R_0402_1005Metric,C25905
1K,R9,Resistor_SMD:R_0402_1005Metric,C11702
1k,"R10,R14,R15",Resistor_SMD:R_0402_1005Metric,C11702
27R,"R12,R13",Resistor_SMD:R_0402_1005Metric,C25100
SWITCH,SW1,0xcb:1.9x2.8mm SW,C589221
USBLC6-2P6,U1,Package_TO_SOT_SMD:SOT-666,C2827693
TLV75533PDQNR,U2,0xcb:X2SON-4,C2861882
W25Q128JVPIQ,U3,0xcb:W25Q128JVPIQ,C190862
RP2040,U4,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
74LVC1T45,U5,Package_TO_SOT_SMD:SOT-563,C352970
12MHz,Y1,Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149204
