Designator,Mid X,Mid Y,Layer,Rotation
C1,153.8,-141.15,T,180.0
C10,160.45,-150.91,T,270.0
C11,159.17,-160.49,T,270.0
C12,163.8,-156.7,T,0.0
C13,163.79,-153.1,T,0.0
C14,159.3,-150.91,T,90.0
C15,154.025,-156.425,T,180.0
C16,155.49,-150.91,T,90.0
C17,158.45,-150.91,T,90.0
C18,162.15,-150.91,T,90.0
C19,160.01,-160.49,T,270.0
C2,155.575,-141.475,T,0.0
C3,161.99,-141.37,T,0.0
C4,163.89,-144.17,T,270.0
C5,161.59,-144.17,T,270.0
C6,163.47,-145.69,T,0.0
C7,159.14,-162.15,T,90.0
C8,155.32,-162.15,T,270.0
C9,161.3,-150.91,T,270.0
D1,163.91,-150.89,T,270.0
D2,163.02,-150.9,T,270.0
D3,164.1,-141.39,T,180.0
F1,162.91,-142.31,T,0.0
FB1,164.42,-136.23,T,90.0
J1,158.88,-136.78,T,180.0
Q1,161.62,-161.22,T,90.0
Q2,155.525,-143.175,T,270.0
R1,161.63,-162.86,T,0.0
R10,163.91,-149.07,T,90.0
R11,154.8,-146.2,T,90.0
R12,157.6,-143.81,T,90.0
R13,160.12,-143.8,T,90.0
R14,157.92,-160.44,T,0.0
R15,163.02,-149.07,T,90.0
R16,163.8,-158.15,T,180.0
R17,163.8,-159.025,T,0.0
R2,156.75,-143.81,T,90.0
R3,160.04,-162.33,T,90.0
R4,154.3,-143.375,T,90.0
R5,153.8,-142.025,T,180.0
R6,153.275,-143.375,T,270.0
R7,163.38,-139.43,T,0.0
R8,154.32,-139.43,T,180.0
R9,155.3,-144.74,T,0.0
SW1,163.74,-161.27,T,270.0
U1,158.86,-143.8,T,0.0
U2,162.74,-144.165,T,0.0
U3,158.9,-147.6,T,270.0
U4,158.925,-155.7,T,0.0
U5,154.625,-148.65,T,0.0
Y1,157.22,-162.15,T,0.0
