Designator,Mid X,Mid Y,Layer,Rotation
C1,47.395,76.78,T,180.0
C1,28.615,76.78,T,180.0
C1,57.505,14.26,T,0.0
C1,9.835,76.78,T,180.0
C1,95.065,14.26,T,0.0
C1,84.955,76.78,T,180.0
C1,19.945,14.26,T,0.0
C1,66.175,76.78,T,180.0
C1,38.725,14.26,T,0.0
C1,76.285,14.26,T,0.0
C10,50.855,23.91,T,90.0
C10,32.075,23.91,T,90.0
C10,16.485,67.13,T,270.0
C10,88.415,23.91,T,90.0
C10,91.605,67.13,T,270.0
C10,54.045,67.13,T,270.0
C10,72.825,67.13,T,270.0
C10,13.295,23.91,T,90.0
C10,69.635,23.91,T,90.0
C10,35.265,67.13,T,270.0
C11,52.205,33.71,T,90.0
C11,15.135,57.33,T,270.0
C11,14.645,33.71,T,90.0
C11,90.255,57.33,T,270.0
C11,71.475,57.33,T,270.0
C11,89.765,33.71,T,90.0
C11,33.425,33.71,T,90.0
C11,33.915,57.33,T,270.0
C11,52.695,57.33,T,270.0
C11,70.985,33.71,T,90.0
C12,57.395,61.23,T,0.0
C12,38.615,61.23,T,0.0
C12,9.945,29.81,T,180.0
C12,85.065,29.81,T,180.0
C12,28.725,29.81,T,180.0
C12,47.505,29.81,T,180.0
C12,66.285,29.81,T,180.0
C12,94.955,61.23,T,0.0
C12,19.835,61.23,T,0.0
C12,76.175,61.23,T,0.0
C13,38.605,64.83,T,0.0
C13,9.955,26.21,T,180.0
C13,66.295,26.21,T,180.0
C13,19.825,64.83,T,0.0
C13,47.515,26.21,T,180.0
C13,57.385,64.83,T,0.0
C13,76.165,64.83,T,0.0
C13,85.075,26.21,T,180.0
C13,28.735,26.21,T,180.0
C13,94.945,64.83,T,0.0
C14,52.895,67.13,T,90.0
C14,14.445,23.91,T,270.0
C14,15.335,67.13,T,90.0
C14,70.785,23.91,T,270.0
C14,52.005,23.91,T,270.0
C14,89.565,23.91,T,270.0
C14,71.675,67.13,T,90.0
C14,34.115,67.13,T,90.0
C14,33.225,23.91,T,270.0
C14,90.455,67.13,T,90.0
C15,94.84,29.535,T,0.0
C15,28.84,61.505,T,180.0
C15,85.18,61.505,T,180.0
C15,76.06,29.535,T,0.0
C15,10.06,61.505,T,180.0
C15,57.28,29.535,T,0.0
C15,38.5,29.535,T,0.0
C15,66.4,61.505,T,180.0
C15,19.72,29.535,T,0.0
C15,47.62,61.505,T,180.0
C16,67.995,67.12,T,90.0
C16,74.465,23.92,T,270.0
C16,18.125,23.92,T,270.0
C16,11.655,67.12,T,90.0
C16,86.775,67.12,T,90.0
C16,36.905,23.92,T,270.0
C16,55.685,23.92,T,270.0
C16,93.245,23.92,T,270.0
C16,49.215,67.12,T,90.0
C16,30.435,67.12,T,90.0
C17,15.295,23.91,T,270.0
C17,52.045,67.13,T,90.0
C17,70.825,67.13,T,90.0
C17,52.855,23.91,T,270.0
C17,71.635,23.91,T,270.0
C17,89.605,67.13,T,90.0
C17,34.075,23.91,T,270.0
C17,33.265,67.13,T,90.0
C17,14.485,67.13,T,90.0
C17,90.415,23.91,T,270.0
C18,74.525,67.13,T,90.0
C18,36.965,67.13,T,90.0
C18,11.595,23.91,T,270.0
C18,86.715,23.91,T,270.0
C18,55.745,67.13,T,90.0
C18,93.305,67.13,T,90.0
C18,30.375,23.91,T,270.0
C18,49.155,23.91,T,270.0
C18,67.935,23.91,T,270.0
C18,18.185,67.13,T,90.0
C19,72.325,57.33,T,270.0
C19,51.355,33.71,T,90.0
C19,88.915,33.71,T,90.0
C19,34.765,57.33,T,270.0
C19,53.545,57.33,T,270.0
C19,13.795,33.71,T,90.0
C19,15.985,57.33,T,270.0
C19,70.135,33.71,T,90.0
C19,32.575,33.71,T,90.0
C19,91.105,57.33,T,270.0
C2,86.73,76.455,T,0.0
C2,55.73,14.585,T,180.0
C2,18.17,14.585,T,180.0
C2,36.95,14.585,T,180.0
C2,11.61,76.455,T,0.0
C2,93.29,14.585,T,180.0
C2,30.39,76.455,T,0.0
C2,74.51,14.585,T,180.0
C2,67.95,76.455,T,0.0
C2,49.17,76.455,T,0.0
C3,27.865,14.37,T,270.0
C3,9.085,14.37,T,270.0
C3,77.035,76.67,T,90.0
C3,84.205,14.37,T,270.0
C3,46.645,14.37,T,270.0
C3,39.475,76.67,T,90.0
C3,20.695,76.67,T,90.0
C3,95.815,76.67,T,90.0
C3,65.425,14.37,T,270.0
C3,58.255,76.67,T,90.0
C4,57.385,74.27,T,0.0
C4,47.515,16.77,T,180.0
C4,28.735,16.77,T,180.0
C4,94.945,74.27,T,0.0
C4,38.605,74.27,T,0.0
C4,9.955,16.77,T,180.0
C4,66.295,16.77,T,180.0
C4,85.075,16.77,T,180.0
C4,19.825,74.27,T,0.0
C4,76.165,74.27,T,0.0
C5,86.975,16.77,T,0.0
C5,11.855,16.77,T,0.0
C5,68.195,16.77,T,0.0
C5,55.485,74.27,T,180.0
C5,30.635,16.77,T,0.0
C5,36.705,74.27,T,180.0
C5,74.265,74.27,T,180.0
C5,17.925,74.27,T,180.0
C5,93.045,74.27,T,180.0
C5,49.415,16.77,T,0.0
C6,10.945,19.29,T,90.0
C6,48.505,19.29,T,90.0
C6,29.725,19.29,T,90.0
C6,18.835,71.75,T,270.0
C6,67.285,19.29,T,90.0
C6,37.615,71.75,T,270.0
C6,56.395,71.75,T,270.0
C6,93.955,71.75,T,270.0
C6,75.175,71.75,T,270.0
C6,86.065,19.29,T,90.0
C7,15.085,55.58,T,90.0
C7,52.255,35.46,T,270.0
C7,33.475,35.46,T,270.0
C7,89.815,35.46,T,270.0
C7,33.865,55.58,T,90.0
C7,90.205,55.58,T,90.0
C7,71.425,55.58,T,90.0
C7,71.035,35.46,T,270.0
C7,14.695,35.46,T,270.0
C7,52.645,55.58,T,90.0
C8,93.835,36.45,T,270.0
C8,48.625,54.59,T,90.0
C8,37.495,36.45,T,270.0
C8,75.055,36.45,T,270.0
C8,67.405,54.59,T,90.0
C8,11.065,54.59,T,90.0
C8,86.185,54.59,T,90.0
C8,18.715,36.45,T,270.0
C8,56.275,36.45,T,270.0
C8,29.845,54.59,T,90.0
C9,50.005,23.91,T,90.0
C9,92.455,67.13,T,270.0
C9,17.335,67.13,T,270.0
C9,87.565,23.91,T,90.0
C9,31.225,23.91,T,90.0
C9,73.675,67.13,T,270.0
C9,12.445,23.91,T,90.0
C9,68.785,23.91,T,90.0
C9,36.115,67.13,T,270.0
C9,54.895,67.13,T,270.0
D1,65.495,21.1075,T,90.0
D1,58.185,69.9325,T,270.0
D1,95.745,69.9325,T,270.0
D1,84.275,21.1075,T,90.0
D1,20.625,69.9325,T,270.0
D1,27.935,21.1075,T,90.0
D1,76.965,69.9325,T,270.0
D1,46.715,21.1075,T,90.0
D1,9.155,21.1075,T,90.0
D1,39.405,69.9325,T,270.0
D2,85.165,21.1175,T,90.0
D2,19.735,69.9225,T,270.0
D2,28.825,21.1175,T,90.0
D2,47.605,21.1175,T,90.0
D2,57.295,69.9225,T,270.0
